cod_id;date;population
110001;2016;326
110002;2016;1662
110003;2016;73
110004;2016;1338
110005;2016;263
110006;2016;223
110007;2016;139
110008;2016;213
110009;2016;486
110010;2016;884
110011;2016;807
110012;2016;1976
110013;2016;398
110014;2016;276
110015;2016;582
110018;2016;601
110020;2016;8611
110025;2016;276
110026;2016;35
110028;2016;855
110029;2016;114
110030;2016;1427
110032;2016;337
110033;2016;411
110034;2016;166
110037;2016;168
110040;2016;220
110045;2016;624
110050;2016;95
110060;2016;67
110070;2016;162
110080;2016;372
110090;2016;55
110092;2016;153
110094;2016;241
110100;2016;112
110110;2016;129
110120;2016;93
110130;2016;148
110140;2016;173
110143;2016;90
110145;2016;50
110146;2016;34
110147;2016;56
110148;2016;54
110149;2016;305
110150;2016;171
110155;2016;59
110160;2016;131
110170;2016;151
110175;2016;110
110180;2016;98
120001;2016;222
120005;2016;190
120010;2016;490
120013;2016;248
120017;2016;194
120020;2016;1632
120025;2016;270
120030;2016;834
120032;2016;263
120033;2016;325
120034;2016;236
120035;2016;352
120038;2016;339
120039;2016;230
120040;2016;6614
120042;2016;304
120043;2016;95
120045;2016;410
120050;2016;762
120060;2016;1078
120070;2016;329
120080;2016;356
130002;2016;325
130006;2016;280
130008;2016;182
130010;2016;266
130014;2016;211
130020;2016;380
130030;2016;890
130040;2016;496
130050;2016;810
130060;2016;1021
130063;2016;510
130068;2016;312
130070;2016;653
130080;2016;663
130083;2016;183
130090;2016;217
130100;2016;625
130110;2016;481
130115;2016;199
130120;2016;1646
130130;2016;404
130140;2016;787
130150;2016;369
130160;2016;573
130165;2016;284
130170;2016;977
130180;2016;389
130185;2016;928
130190;2016;2028
130195;2016;263
130200;2016;187
130210;2016;150
130220;2016;175
130230;2016;604
130240;2016;652
130250;2016;1795
130255;2016;253
130260;2016;39603
130270;2016;911
130280;2016;358
130290;2016;1273
130300;2016;338
130310;2016;587
130320;2016;289
130330;2016;386
130340;2016;1932
130350;2016;348
130353;2016;548
130356;2016;415
130360;2016;305
130370;2016;693
130380;2016;1255
130390;2016;871
130395;2016;178
130400;2016;208
130406;2016;1753
130410;2016;389
130420;2016;1679
130423;2016;363
130426;2016;264
130430;2016;265
130440;2016;299
140002;2016;331
140005;2016;620
140010;2016;6749
140015;2016;365
140017;2016;315
140020;2016;381
140023;2016;145
140028;2016;138
140030;2016;308
140040;2016;428
140045;2016;357
140047;2016;542
140050;2016;104
140060;2016;83
140070;2016;509
150010;2016;2532
150013;2016;117
150020;2016;996
150030;2016;911
150034;2016;163
150040;2016;1031
150050;2016;739
150060;2016;2846
150070;2016;819
150080;2016;8011
150085;2016;575
150090;2016;954
150095;2016;395
150100;2016;205
150110;2016;562
150120;2016;567
150125;2016;37
150130;2016;2148
150140;2016;19250
150145;2016;241
150150;2016;950
150157;2016;248
150160;2016;182
150170;2016;2126
150172;2016;272
150175;2016;79
150178;2016;766
150180;2016;2541
150190;2016;504
150195;2016;344
150200;2016;339
150210;2016;2406
150215;2016;1380
150220;2016;1050
150230;2016;807
150240;2016;3129
150250;2016;370
150260;2016;199
150270;2016;758
150275;2016;500
150276;2016;158
150277;2016;328
150280;2016;698
150285;2016;208
150290;2016;527
150293;2016;692
150295;2016;409
150300;2016;121
150304;2016;327
